0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,88,0,124,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,168,166,0,0,49,59,0,0,114,0,0,0,84,97,0,98,0,0,118,102,102,84,0,0,0,102,0,0,0,50,68,186,0,51,291,198,420,244,118,0,84,164,202,202,0,0,0,59,242,0,50,0,120,0,0,0,0,0,0,0,0,0,0,50,0,0,41,0,0,58,0,0,0,0,0,0,58,50,0,0,100,0,0,0,134,101,41,159,50,0,0,134,0,89,50,0,42,0,0,0
0,42980,966,13744,34400,6628,62424,63112,37166,9632,45748,41057,48478,33398,34107,17859,20006,23384,27384,41382,35081,25223,25033,29536,24304,4617,16140,7622,27060,67853,14837,43560,90401,52301,20275,54153,100514,73532,59722,48923,10486,43750,41505,58902,266903,79028,67452,60163,121090,101018,73954,66967,49713,79326,209232,189230,115596,151088,153331,69596,58600,136910,60315,39540,20240,43733,40291,42325,69179,55051,68030,37516,47190,72287,33684,63447,39455,77851,69522,78309,164634,130044,151854,48890,49729,81386,100836,44042,39098,73596,34595,57072,56120,110207,94573,97342,116971,140431,65325,26586,36076,31585,39005,61204,42354,17339,28165,58315,42187,37283,20675,80014,43282,48038,89458,215646,86205,48038,50162,72250,137518,154511,114346,134713,103787,240107,32710,0
0,3932,38986,24542,37694,13864,40006,30012,24200,22506,27526,3048,38900,42079,54864,24328,48055,38572,23086,6894,39418,60520,44469,32708,23436,11835,7448,72036,126784,121626,88766,113358,67509,33008,140229,129492,84492,91074,116990,165055,124235,92998,43446,51761,117222,75334,71984,64698,88028,75450,54790,123432,75246,87112,204256,137700,144552,110704,127695,85221,66509,106053,51862,39704,17627,25462,79358,87405,231588,192676,51786,33690,50066,78418,39126,60737,77634,47945,103869,110184,207861,171319,192893,30033,117930,86948,60511,65822,46676,57795,47965,66590,185854,252274,114329,64181,166205,62463,42922,35411,30496,77150,35567,35649,45147,28888,35165,45034,35836,17817,28588,52761,39169,75950,128957,401849,71473,76591,168842,56531,84353,165110,102301,227088,122848,226332,88569,0
44,21788,25904,38968,36664,28050,49610,35435,32528,25686,39653,22106,26104,13050,11734,30169,27677,10474,25974,16930,22419,24064,43872,36302,5178,9328,10957,19032,56411,71000,67902,52465,71753,48526,59602,86975,94514,40854,26315,108121,147721,102120,35574,35720,38516,71950,58872,81666,70560,70908,31460,50575,60549,68828,164894,121270,175398,115793,88884,71285,77078,45221,44388,36468,35251,60159,46531,145568,126906,69062,58726,82270,34891,70885,52748,53896,61351,60962,112356,98120,176618,160487,172783,108297,105766,124262,194433,105340,48391,62890,72341,249107,417969,94332,30200,37133,40294,30360,83289,32572,36687,88038,70568,67503,82330,36809,99954,69484,47493,71897,80027,59114,68420,95444,103938,49946,104195,50779,43522,37687,55190,115534,61235,84636,182134,138372,11326,0
0,3828,15502,10310,20966,20070,28424,12883,18522,38792,32602,46420,37493,3812,2246,10911,4150,16530,6830,18886,20027,15234,16682,50644,11702,9395,10443,15234,26293,91393,56636,37637,93414,35555,88626,142356,56332,111940,88728,85471,106754,61660,54454,37368,61050,67230,44162,41372,73088,72408,42428,70634,99642,110376,179624,134342,171482,87309,109797,45467,112190,75879,31934,41795,77898,53864,35991,41066,68654,36528,40456,59996,54462,46197,57518,66610,67408,75302,95027,60758,151548,50091,41582,57081,57345,22859,24474,101160,40170,122900,203326,121776,402590,61544,29409,41715,33601,25903,85293,35943,40855,44758,66428,54063,39668,70888,62694,81074,37465,14194,57495,37716,121422,126624,209427,96251,120920,72093,61872,66430,74432,179585,59730,86960,265960,167259,31628,0
0,5039,29466,19948,32932,26856,21580,20474,25754,17533,4884,31834,41586,41826,58044,55764,15771,18992,23504,23544,69264,17479,11200,17101,3802,45090,9412,34920,58412,80278,86018,99020,124931,33805,64634,62290,51675,132365,77975,173844,101214,93586,74596,107839,82810,105116,54618,40663,45442,57641,78474,103766,64985,84443,158370,123026,152275,150586,97625,92706,96617,73557,33525,37517,35503,38431,11988,46376,32332,56664,23958,28964,51775,28826,24174,37803,59794,73358,67364,45582,186258,50082,47722,64234,201292,68537,32888,45549,115053,213114,176655,273724,62648,31473,28809,36144,42574,24408,28797,23172,114262,40108,71639,58447,33822,79084,55478,37731,19493,56472,97682,65591,55923,156131,138023,108201,132983,69732,29954,31468,34995,140765,38798,57238,52011,124406,8968,0
0,18925,29328,33082,28162,21468,12140,11910,0,7350,36374,49454,27430,78226,83571,47706,28944,18034,11894,10902,11154,21024,47005,40400,14830,14368,6795,27856,59156,71164,93064,89566,61922,131062,190025,128434,138066,96793,103016,179898,158935,106707,25301,69573,61744,107249,69115,39140,66227,57132,65986,85714,100926,116107,169114,104087,171776,157150,110273,120366,81103,87159,61552,34185,44256,48784,31725,45868,41884,41841,39546,17267,24389,16376,58510,72799,73426,52701,56580,55298,139749,57166,104870,31398,33585,34009,40787,40072,82141,280638,135321,338406,78398,50956,39096,19407,20998,24101,35524,30871,28827,100338,55778,50580,88663,68460,48750,37550,62986,67622,51916,98849,65872,136271,164008,137891,110208,107345,33755,28714,117325,140854,71170,141097,53948,280882,28839,0
0,20922,41926,40614,34971,55264,38276,30834,0,0,17068,9578,32360,77150,41604,33525,52713,37832,19426,37082,24664,47560,50340,24352,7720,13587,32940,37475,41758,70717,109511,119439,47364,82921,41550,60603,115696,113188,148011,182967,163399,85218,32242,43258,61898,71829,75501,65052,73638,52486,72749,98248,98677,145267,158875,57517,136931,173831,115074,134640,54445,91132,84844,42153,54689,40557,30235,13120,43140,50284,36750,31897,26297,54071,77361,91042,61442,41770,42223,54056,151764,79974,75654,63073,35850,68210,144633,161576,167069,184023,75488,227195,44959,61625,32498,36048,21517,20257,41711,90692,44776,72525,76793,51965,127607,139903,162176,61884,77253,99973,93918,100997,63875,123967,123238,211088,215124,109152,154878,107119,146259,138781,243013,197995,76074,119323,84198,0
0,17016,14514,0,45390,24369,46792,56802,17049,10352,20496,17392,40302,69214,28293,12320,2896,34996,36110,17346,28272,19562,50419,44552,1303,2176,18250,29072,56867,42824,42517,53437,91231,57471,28416,50136,64400,157061,79546,128304,55155,48060,33846,64060,73306,75574,93969,77201,102803,59643,41220,66206,74928,74724,151746,106843,72422,198859,100969,125707,57961,82013,56605,54429,32021,51057,38237,33246,36956,43476,24268,53985,32650,51275,64263,54443,41557,49447,35973,32694,107160,119767,81368,82574,65478,59076,101443,63606,90123,71325,44407,135724,23776,32878,31999,35787,65325,32219,39817,102797,78014,72613,116204,393038,520398,100786,68375,46179,70883,115211,108147,96917,240534,187173,96987,154477,127690,77324,48722,109966,82072,100154,124526,126579,114557,116114,16228,0
