3931701,2769787,15013523,17299163,13113807,9057204,16353715,11073495,21540325,13809492,3068321,1914531,5667067,10555240,10220177,6305017,2850568,1087904,351325,94469,167344,122799,637693,158619,43480,59695,1046,3232,0,2508,1578,0
10298867,7220719,12792225,24474514,41594182,26298122,19520503,20020326,26198865,18651446,9157143,3151685,9656727,27824265,19103339,10863780,3729969,2668424,875325,59522,408451,4845456,8211311,209445,308596,116557,2660,3002,0,136960,0,0
11420917,11124173,10012738,15279140,41579149,29864072,35837616,38411908,21971288,19058109,9220476,4390817,5820104,17949696,18142754,6276117,3094833,1522742,180215,2467657,405260,5246590,2435180,1208089,446694,249128,419808,176,0,0,0,0
6851053,14360900,9699680,10637918,27150743,16047583,42899528,40801501,41978762,22350994,11136863,11945526,4237053,14532770,11000416,3717932,1658305,788190,2507053,7326487,6246481,4804471,4875962,559974,737899,3233872,95031,4268,0,0,0,0
12293992,19000650,8101556,12325101,26594100,28578992,25608454,33073121,24348755,27229862,18672810,17504341,14320216,5943708,6541966,8849062,2150308,1811417,2703821,4230915,1582770,2755126,7842251,515543,1720475,25966402,117513,0,0,0,0,0
8885525,12597186,7287687,17996199,22767762,24171880,26150418,18349898,69957133,52088999,53491363,17040603,10033462,4490418,7765279,6341458,1655960,6278120,3070832,2378375,2140710,980256,435398,482854,751881,8534478,2458,0,0,0,0,0
4433191,8602761,21731022,18035386,23291088,27200938,34269922,25552177,102144167,44728823,30401661,24963625,15826091,8054529,5246034,792038,498249,2582278,3366092,1618007,6794998,1386899,454697,3934167,2781668,2584480,588956,6134,0,0,0,0
2536367,39336158,55954502,66203899,24519669,33021428,27115902,42320435,65534457,32067949,17067947,8356222,4717844,8416709,2655531,2049212,662005,4238557,2649473,1083889,11456062,2088710,2883518,5322842,1633427,975970,1362663,768539,0,0,0,0
7685288,61937739,138937888,140085256,31160023,31838274,41968266,44484640,23827592,19826586,15743360,11374168,15388153,7720535,2221969,1304502,745700,1506993,1674426,1412712,4522766,7204444,12738861,3430761,1568928,887369,1185783,838679,18114,96345,10674,45448
18050370,10793674,260535225,168264751,34032089,20516446,22212822,16557500,27086097,7891377,6290417,10364182,5501240,4088960,1744915,419384,1286646,2423838,7677103,1163006,14266535,6078992,8738804,2843279,1907088,910197,2772675,650666,15109,560723,996526,1616224
