0,0,3749143,9060065,9929943,16778305,17831652,15823686,13465241,6146324,5746777,16711382,13353249,13715958,8867653,8793151
0,951523,12076363,12432324,13392942,12583086,15697533,10395303,4083792,3105103,3712310,10391227,10012884,17083430,12437940,10323480
0,8639625,13144551,13572587,13634506,11673261,8785222,19637306,13816839,3823885,3290324,9340556,8726907,9966244,13201128,10158905
183352,10733982,13167724,11739476,18595657,9707379,11252125,7685067,10007002,1952181,2574128,8166116,8152011,11091102,20279562,16147508
2908719,14397175,19483183,15805282,10172640,3305938,3157924,3586852,9755375,9926894,5927576,11472121,3258909,13470887,17999500,16188510
3603627,13646655,14828601,11093229,17023610,5288393,3453828,6935362,22958804,16692401,7680315,13530559,4118377,4217426,13727513,11577112
8109688,16703344,15792834,5583589,15415013,5141358,4510322,9771231,16560603,22135077,16157928,18420265,12930740,12687106,12769836,14113525
20721360,16592550,8401164,6864937,7437173,5909211,5785720,11417203,18485978,15968949,14135045,15266733,15903675,18269378,16605929,17299537
13172625,13573583,9790097,5102448,2982585,7871007,8183801,9570944,17983013,30011242,17753396,17961638,9441566,11444792,18311016,17997432
4550097,15679868,8217981,6432045,8570901,12520919,11799078,15075490,22110010,20340630,18423726,14388486,13904236,10237525,16066012,19217394
3785171,12086970,9762665,9445107,13481860,9399892,9046774,14408978,16256987,17243897,15131807,11521118,13366435,14601687,13597802,8275473
3183122,11362123,7648058,9803526,11418102,8325863,8251116,7445452,9255489,16393763,17552621,14016165,14630933,18031420,19510140,12097648
748603,8261010,9320807,8167729,7807757,4103163,6977868,11321667,10150496,13036290,15563645,14401125,12040969,14837345,16158546,14502669
7428494,12374746,6000155,11281326,11615805,4618387,7992850,7247870,11773081,13770035,9667843,17306174,15451278,15455088,10881795,11515341
11337881,8655185,3087378,10467066,6823633,4464830,6968934,8433694,5194448,8327326,10937146,14563712,14066606,8351113,9609555,6080208
589080,295285,8142363,11438025,11181965,9113181,8477896,10411744,8660084,11234005,13880801,14080096,10583595,6418949,9545456,6156856
